energy,tempo,danceability,liveness,valence,duration_ms,loudness,playlist_genre,track_name,track_artist,track_popularity,analysis_url
0.00644,69.321,0.0631,0.107,0.0639,190500,-34.111,ambient,Meander,Anders Schill Paulsen,45,https://api.spotify.com/v1/audio-analysis/0llXuMzfxERO9rNFZ4pCUh
0.00645,74.189,0.189,0.112,0.0487,178000,-32.299,ambient,Aftermoon Nap,Whispered Dreams,43,https://api.spotify.com/v1/audio-analysis/2OP0LH6XsVHHViytoyNtQ0
0.0066,137.276,0.15,0.104,0.0352,151625,-39.007,wellness,Amaryllian,Lush Lotus,46,https://api.spotify.com/v1/audio-analysis/0HzKdJzGNFyBd4kMuF7JMH
0.00683,73.135,0.191,0.0917,0.0359,90093,-33.714,classical,Psalm 22.21,"jung jaeil, VOCES8",30,https://api.spotify.com/v1/audio-analysis/12XJf2wZXhYjOdsEGMZ90n
0.00718,74.412,0.27,0.113,0.197,136963,-19.105,wellness,Natural Beauty,Luka Vida,44,https://api.spotify.com/v1/audio-analysis/0YqMuFuT9EWKMFQnZeDlYL
0.00722,125.772,0.17,0.108,0.0372,179562,-39.846,wellness,Quiescent State,Yoo Woon,54,https://api.spotify.com/v1/audio-analysis/6QQ5FWFNaFutL0fvJTL5DB
0.00724,72.04,0.182,0.108,0.102,159521,-34.524,wellness,Nejma,A.Z. Louna,33,https://api.spotify.com/v1/audio-analysis/2G60IUm1SMnoLHN6kgaZNo
0.00725,71.939,0.121,0.114,0.0334,152222,-38.789,ambient,Rossø,Ganlas,64,https://api.spotify.com/v1/audio-analysis/2dSnb7M0ghAJjFlOw5gWcs
0.00736,139.362,0.147,0.115,0.0399,149792,-35.267,wellness,Cometus,Noah Moon,61,https://api.spotify.com/v1/audio-analysis/1HfNNI811ZFISNkSV35niH
0.00736,140.011,0.145,0.116,0.0369,165000,-36.296,ambient,Sealand,Heno,32,https://api.spotify.com/v1/audio-analysis/6q3U3SkUY9Qz88q1pd39kx
0.00747,73.896,0.195,0.135,0.0405,150000,-38.997,ambient,Chasing Infinity,The Endity,27,https://api.spotify.com/v1/audio-analysis/3W3q7ZBWslm6fWfGnnvmhk
0.00759,73.841,0.182,0.0918,0.0338,178500,-37.935,wellness,Calming Eternity,Celestial Aura,43,https://api.spotify.com/v1/audio-analysis/4HJdSjBogB3I06ObjTQ0MS
0.00776,138.427,0.149,0.0983,0.0409,174601,-40.195,ambient,Times,Medi Mindler,54,https://api.spotify.com/v1/audio-analysis/55zjeIIywlkvH80y1bmOL7
0.00817,67.449,0.171,0.0859,0.0355,154000,-35.99,ambient,Echoes Divided,Bright Lens,63,https://api.spotify.com/v1/audio-analysis/14k8ejDpD3MNTzpYhUjKTN
0.00838,67.955,0.182,0.15,0.0327,150500,-34.11,wellness,Come Wander,Wicker Whales,66,https://api.spotify.com/v1/audio-analysis/1d0sc4npZeCAxX4YRuaCNG
0.00843,139.756,0.145,0.148,0.0501,149356,-37.593,wellness,Bountiful,Space Case Travel Inc.,50,https://api.spotify.com/v1/audio-analysis/5VzPfqAPty6kWuGywackk7
0.00897,72.358,0.217,0.109,0.0379,150446,-37.465,wellness,Hora Somni,Lavinium,66,https://api.spotify.com/v1/audio-analysis/3qBOyYcWluNCMHJU7uO3xi
0.00898,137.553,0.148,0.104,0.0632,146400,-39.959,ambient,"Nightscape, Pt. 1",Oceanic Voices,62,https://api.spotify.com/v1/audio-analysis/1NBoFhYZy1gugrVWBpvV0B
0.00911,76.362,0.0703,0.111,0.0742,173333,-36.483,ambient,Nebbia,Luca Magliano,43,https://api.spotify.com/v1/audio-analysis/16d6iAPkHT69gtd9dksGuz
